Name,Page type,URL,Performance,Progressive Web App,Accessibility,Best Practices,SEO
AliExpress,home,https://www.aliexpress.com/index.html,66,62,40,87,100
AliExpress,category,https://www.aliexpress.com/category/100003070/men-clothing.html,89,62,54,87,100
AliExpress,product,https://www.aliexpress.com/item/2018-New-Autumn-Winter-Jeans-Men-High-Quality-Famous-Brand-Denim-trousers-soft-mens-pants-men/32832265738.html,80,62,43,87,100
Amazon,home,https://www.amazon.com,46,31,92,80,100
Amazon,category,https://www.amazon.com/s/ref=sr_nr_n_1?rh=i%3Aelectronics,69,58,85,100,100
Amazon,product,https://www.amazon.com/Nintendo-Switch-Neon-Red-Blue-Joy/dp/B01MUAGZ49/ref=pd_sbs_147_1/138-2019720-2531033,43,31,60,73,100
Americanas,home,https://www.americanas.com.br,29,31,45,60,100
Americanas,category,https://www.americanas.com.br/categoria/games,24,31,54,60,100
Americanas,product,https://www.americanas.com.br/hotsite/ps4,36,38,54,80,100
ASOS,home,https://www.asos.com,14,35,81,80,100
ASOS,category,https://www.asos.com/men/shoes-boots-trainers/shoes/cat/?cid=27116,9,35,73,80,100
ASOS,product,https://www.asos.com/emporio-armani/emporio-armani-logo-slippers-in-navy/prd/10336705,11,35,66,67,100
Best Buy,home,https://www.bestbuy.com/?intl=nosplash,8,31,81,67,100
Best Buy,category,https://www.bestbuy.com/site/playstation-4-ps4/playstation-4-ps4-hardware-console/pcmcat296300050017.c?id=pcmcat296300050017,11,23,79,67,70
Best Buy,product,https://www.bestbuy.com/site/sony-playstation-4-pro-console-jet-black/5388900.p?skuId=5388900,6,31,90,60,100
Costco,home,https://www.costco.com,28,31,68,67,100
Costco,category,https://www.costco.com/refrigerators-side-by-side.html,45,58,80,67,100
Costco,product,https://www.costco.com/GE-25.4-CuFt-Side-By-Side-Refrigerator.product.100350337.html,19,31,72,60,100
eBay,home,https://www.ebay.com,55,58,86,73,100
eBay,category,https://www.ebay.com/b/Electronics/bn_7000259124,82,50,95,73,100
